epoch,loss,protest_out_loss,val_loss,val_protest_out_loss,val_violence_out_loss,val_visual_out_loss,violence_out_loss,visual_out_loss
0,1.1139962904116245,0.3752577333316129,0.9066780923628339,0.3053073800369805,0.002072456193855032,0.11612923015274254,0.0035049399765268094,0.1407378317339648
1,0.9149562301826103,0.30310672869740046,1.6464935516609864,0.6580214734170952,0.004367811111596358,0.18895879306045232,0.00201784030742168,0.11833421930339168
2,0.8620113302509822,0.28149239070401455,0.836262318199756,0.27811754389720805,0.0018076102099810526,0.1080137347181638,0.001768016209957774,0.11256775524252684
3,0.7420240463932771,0.22995465670600143,0.7429141101883907,0.24038967165876837,0.0012960774103275446,0.0979127322049702,0.0014823954183947636,0.09944908711961739
4,0.6851506734081588,0.20407641847271726,0.8048074099363065,0.26629724908693164,0.0012852358965413741,0.10513156069552197,0.0013595420941068968,0.09349576690044079
5,0.6592868427253519,0.1919522026543998,0.7808809551538206,0.2645714389927247,0.0011981093187190994,0.1008656848514197,0.0012944832644103629,0.09087796162579852
6,0.6352045603525576,0.18107423815310625,0.7870558303360845,0.2620876814074376,0.0012828496342419883,0.10242793058940008,0.00130581384437582,0.08821443707745581
7,0.5587356965988874,0.14539279432294414,0.7185232402062883,0.23610304173301247,0.0010412793561793959,0.09440148094413327,0.001183770123539058,0.08030104015695409
8,0.5336655612196286,0.13548080719939154,0.7334744196312101,0.2408810021100091,0.0010936386847735027,0.09633140618018075,0.0011233185494309613,0.07739031387746569
9,0.5055066505690832,0.12153564593681568,0.7905459968482746,0.2863596442721638,0.0010414329736080368,0.09875440439757179,0.0011132274437398418,0.0745677461442952
10,0.49698456103733074,0.11728847810647484,0.7644219429469576,0.2678542618365849,0.0010585980953228679,0.09719634053899961,0.0010951092134560724,0.07374899784658903
11,0.44953237339386143,0.09437440479715496,0.7934243416084963,0.2930457011193914,0.0010746709738490537,0.09792638597096882,0.0010877507379304368,0.06885609239661647
12,0.4366833033888596,0.0871498648720886,0.7814966020923034,0.27797161394036285,0.0010943393220704998,0.09851631942552094,0.001075379802620359,0.06775592795465903
13,0.4210480929045153,0.07966664111661037,0.7953900941446715,0.2904240025682192,0.0010550932415307947,0.0988830321961466,0.001071421905952018,0.06613344649165011
14,0.414972776781124,0.07707834116205163,0.8225617669084493,0.3031051945269984,0.0010655421745397297,0.10176023011479307,0.0010624931125238002,0.0654539009799976
15,0.39527652973396926,0.06736478634106717,0.8261330636400802,0.30956607707136985,0.001056326941447789,0.10120074339941436,0.0010684758968322466,0.06344539680425565
16,0.39445373107781584,0.06859191593711621,0.8216300461806503,0.30374875201423673,0.0010433918206556472,0.10148947478874641,0.001023393840633326,0.06312557523923863
17,0.38273680064807697,0.06299876281991601,0.8391184234151653,0.31154520978749384,0.00104282223505388,0.10342899882325939,0.0010151467073342842,0.06191731415474446
